data;

set N :=
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;

param: A: a c :=
1,2 0 1
1,4 0 1
2,3 0 1
3,4 0 1
3,6 1.0 1
3,10 1.0 1
3,14 1.0 1
4,5 0 1
5,2 0 1
5,8 1.0 1
5,12 1.0 1
5,16 1.0 1
6,7 0 1
7,2 1.0 1
7,8 0 1
7,14 1.0 1
7,18 1.0 1
8,9 0 1
9,4 1.0 1
9,6 0 1
9,16 1.0 1
9,20 1.0 1
10,11 0 1
11,2 1.0 1
11,12 0 1
11,14 1.0 1
11,22 1.0 1
12,13 0 1
13,4 1.0 1
13,10 0 1
13,16 1.0 1
13,24 1.0 1
14,15 0 1
15,2 1.0 1
15,6 1.0 1
15,10 1.0 1
15,16 0 1
15,18 1.0 1
15,22 1.0 1
15,26 1.0 1
16,17 0 1
17,4 1.0 1
17,8 1.0 1
17,12 1.0 1
17,14 0 1
17,20 1.0 1
17,24 1.0 1
17,28 1.0 1
18,19 0 1
19,6 1.0 1
19,14 1.0 1
19,20 0 1
19,26 1.0 1
20,21 0 1
21,8 1.0 1
21,16 1.0 1
21,18 0 1
21,28 1.0 1
22,23 0 1
23,10 1.0 1
23,14 1.0 1
23,24 0 1
23,26 1.0 1
24,25 0 1
25,12 1.0 1
25,16 1.0 1
25,22 0 1
25,28 1.0 1
26,27 0 1
27,14 1.0 1
27,18 1.0 1
27,22 1.0 1
27,28 0 1
27,30 0 1
28,29 0 1
29,16 1.0 1
29,20 1.0 1
29,24 1.0 1
29,26 0 1
29,30 0 1
;

param r :=
1 2
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 -2
;

end;
